nimeke,kieli,sosialistinen,alkupvm,loppupvm,julkaisupaikka,kustantaja,ulkoasu,issn,wikipedia,field_11,tiedot_href,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
Kansan Tahto,fi,sosialistinen,1906-01-19 00:00:00+00,1914-09-22,Oulu,Osuuskunta Kansan Tahto,A2,fk10173,Kansan Tahto,Lue Wikipedia-artikkeli: Kansan Tahto,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10173/data,0101000020E61000009D4B7155D9773940D4F19881CA405040,11,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Yhdenvertaisuus,fi,sosialistinen,1906-10-06 00:00:00+00,1907-07-15,Forssa,Lounais-Hämeen Sanomalehti Oy,A2,fk14894,,Tee tai lue Wikipedia-artikkeli: Yhdenvertaisuus,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14894/data,0101000020E6100000ACC5A700189F37407155D97745684E40,343,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Forssan Sanomat,fi,sosialistinen,1904-11-29 00:00:00+00,1907-02-08,Forssa,Lounais-Hämeen Sanomalehti Oy,A2,fk10061,Forssan Sanomat,Lue Wikipedia-artikkeli: Forssan Sanomat,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10061/data,0101000020E6100000ACC5A700189F37407155D97745684E40,5,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Savon Työmies,fi,sosialistinen,1906-02-15 00:00:00+00,1914-09-17,Kuopio,Savon Työväen Sanomalehti- ja Kirjapaino-osuuskunta,A2,fk10445,Savon Työmies (1906–1918),Lue Wikipedia-artikkeli: Savon Työmies (1906–1918),http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10445/data,0101000020E61000002F698CD651AD3B4060CD018239724F40,16,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Itä-Suomen Työmies,fi,sosialistinen,1899-06-09 00:00:00+00,1900-11-07,Kotka,Kotkan Työväen Sanomalehti Oy,A3,fk10129,,Tee tai lue Wikipedia-artikkeli: Itä-Suomen Työmies,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10129/data,0101000020E61000006D3997E2AAEA3A401D03B2D7BB3B4E40,110,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Eteenpäin,fi,sosialistinen,1905-07-25 00:00:00+00,1918-05-02,Kotka,Kyminlaakson työväen sanomalehti - ja kirjapaino-osuuskunta,A2,fk14940,Viikko-Eteenpäin,Lue Wikipedia-artikkeli: Viikko-Eteenpäin,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14940/data,0101000020E61000006D3997E2AAEA3A401D03B2D7BB3B4E40,4,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Vapaa Sana,fi,sosialistinen,1906-01-19 00:00:00+00,1918-02-04,Vaasa,Oy Kirjapaino Ab,A2,fk14854,Vapaa Sana (Vaasa),Lue Wikipedia-artikkeli: Vapaa Sana (Vaasa),http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14854/data,0101000020E6100000A1DB4B1AA39D35403F355EBA498C4F40,22,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Hämeen Voima,fi,sosialistinen,1906-02-17 00:00:00+00,1918-04-25,Hämeenlinna,Osuuskunta Hämeen Voima il,A2,fk10105,Hämeen Voima,Lue Wikipedia-artikkeli: Hämeen Voima,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10105/data,0101000020E610000082397AFCDE763840E40F069E7B7F4E40,6,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Arbetaren,sv,sosialistinen,1900-08-01 00:00:00+00,1907-11-01,Helsingfors,Tidnings Ab Arbetaren,A3,1458-0527,Arbetaren,Lue Wikipedia-artikkeli: Arbetaren,http://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0527/data,0101000020E61000000F0BB5A679EF38404B02D4D4B2154E40,2,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
Arbetet,sv,sosialistinen,1908-11-06 00:00:00+00,1918-04-11,Åbo,Åbo Svenska Arbetarföreningen,A3,fk10017,Arbetet,Lue Wikipedia-artikkeli: Arbetet,http://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10017/data,0101000020E610000022C32ADEC84436402766BD18CA394E40,41,2015-05-14 09:10:36.002899+00,2015-05-14 09:11:55.318628+00,true
